id;sortorder;country;name;label
11275;;Albania;Kategoria e Pare;Kategoria e Pare
44413;;Albania;Kategoria e Pare, Champions Playoff;Kategoria e Pare, Champions Playoff
36776;;Albania;Kategoria e Pare, Group A;Kategoria e Pare, Group A
36777;;Albania;Kategoria e Pare, Group B;Kategoria e Pare, Group B
16091;;Albania;Kategoria e Pare, Relegation/Promotion;Kategoria e Pare, Relegation/Promotion
2891;;Albania;Kategoria Superiore;Kategoria Superiore
10795;;Albania;Kategoria Superiore, Relegation/Promotion;Kategoria Superiore, Relegation/Promotion
6130;;Albania;Kupa e Shqiperise;Kupa e Shqiperise
18920;;Albania;Kupa e Shqiperise, Group 1;Kupa e Shqiperise, Group 1
18921;;Albania;Kupa e Shqiperise, Group 2;Kupa e Shqiperise, Group 2
17878;;Albania;Kupa e Shqiperise, Group A;Kupa e Shqiperise, Group A
17880;;Albania;Kupa e Shqiperise, Group B;Kupa e Shqiperise, Group B
17882;;Albania;Kupa e Shqiperise, Group C;Kupa e Shqiperise, Group C
17883;;Albania;Kupa e Shqiperise, Group D;Kupa e Shqiperise, Group D
17625;;Albania;Kupa e Shqiperise, Qualification;Kupa e Shqiperise, Qualification
17225;;Albania;Super Cup;Super Cup
5467;;Algeria;Algerian Cup;Algerian Cup
3657;;Algeria;Ligue 1;Ligue 1
11433;;Andorra;Copa Constitucio;Copa Constitucio
4233;;Andorra;Primera Divisio;Primera Divisio
12463;;Andorra;Primera Divisio, Championship Round;Primera Divisio, Championship Round
12464;;Andorra;Primera Divisio, Relegation Round;Primera Divisio, Relegation Round
27996;;Andorra;Primera Divisio, Relegation/Promotion;Primera Divisio, Relegation/Promotion
11432;;Andorra;Segona Divisio;Segona Divisio
12465;;Andorra;Segona Divisio, Promotion Round;Segona Divisio, Promotion Round
7752;;Angola;Girabola;Girabola
273;;Argentina;Copa Argentina;Copa Argentina
7893;;Argentina;Primera B;Primera B
5071;;Argentina;Primera B Nacional;Primera B Nacional
37309;;Argentina;Primera B Nacional, Group A;Primera B Nacional, Group A
40185;;Argentina;Primera B Nacional, Group A, Promotion Playoffs;Primera B Nacional, Group A, Promotion Playoffs
37310;;Argentina;Primera B Nacional, Group B;Primera B Nacional, Group B
40186;;Argentina;Primera B Nacional, Group B, Promotion Playoffs;Primera B Nacional, Group B, Promotion Playoffs
36349;;Argentina;Primera B Nacional, Promotion Playoff;Primera B Nacional, Promotion Playoff
10905;;Argentina;Primera B Nacional, Relegation/Promotion Playoffs;Primera B Nacional, Relegation/Promotion Playoffs
37311;;Argentina;Primera B, Group A;Primera B, Group A
37312;;Argentina;Primera B, Group B;Primera B, Group B
12951;;Argentina;Primera B, Promotion Playoffs;Primera B, Promotion Playoffs
68;;Argentina;Primera Division;Primera Division
